Dahili Hafıza,Ekran Boyutu,RAM Kapasitesi,İşletim Sistemi,price
128,7.0,8,0,20
128,7.0,4,0,177
128,7.0,6,1,277
128,7.0,8,0,272
128,7.0,4,1,241
256,7.0,16,0,138
128,7.0,8,0,222
128,7.0,8,0,94
128,7.0,8,0,100
128,7.0,6,0,159
32,7.0,2,0,17
128,7.0,8,0,32
128,7.0,8,0,258
128,7.0,4,0,46
128,7.0,8,0,226
64,7.0,4,0,93
1,7.0,8,1,323
128,7.0,8,0,39
128,7.0,6,0,72
128,7.0,8,0,154
256,7.0,12,0,302
128,7.0,8,0,137
128,7.0,6,0,178
128,7.0,8,0,278
256,7.0,8,0,188
64,7.0,4,0,6
128,7.0,6,0,139
128,7.0,6,0,82
64,7.0,4,0,60
128,7.0,8,0,153
256,7.0,6,1,294
128,7.0,4,0,270
128,7.0,8,0,192
32,7.0,3,0,302
128,7.0,6,0,104
128,7.0,6,0,114
128,7.0,6,1,281
128,7.0,6,0,311
512,7.0,12,0,200
128,7.0,8,0,302
256,7.0,12,0,302
128,7.0,8,0,125
128,7.0,8,0,162
128,7.0,8,0,214
128,7.0,8,0,302
128,7.0,6,0,130
64,7.0,4,0,164
256,7.0,16,0,156
128,7.0,4,0,65
128,7.0,8,0,309
128,7.0,6,0,293
256,7.0,6,0,197
128,7.0,16,0,101
128,7.0,6,1,284
128,7.0,8,0,64
128,7.0,8,0,232
128,7.0,8,0,280
128,7.0,6,0,72
256,7.0,8,0,213
32,7.0,2,0,16
64,7.0,4,0,44
128,7.0,8,0,245
128,7.0,8,0,78
128,7.0,4,0,55
128,7.0,8,0,107
256,7.0,8,0,190
128,7.0,6,0,142
128,7.0,8,0,37
128,7.0,8,0,119
128,7.0,6,0,96
128,7.0,8,0,313
64,7.0,6,0,183
128,7.0,8,0,143
256,7.0,8,0,262
128,7.0,8,0,320
128,7.0,6,1,282
64,7.0,4,0,42
256,7.0,8,0,210
256,7.0,12,0,244
256,7.0,8,0,219
64,7.0,4,0,11
